movie_id|title
862.0|Toy Story (1995)
8844.0|Jumanji (1995)
15602.0|Grumpier Old Men (1995)
31357.0|Waiting to Exhale (1995)
11862.0|Father of the Bride Part II (1995)
949.0|Heat (1995)
11860.0|Sabrina (1995)
45325.0|Tom and Huck (1995)
9091.0|Sudden Death (1995)
710.0|GoldenEye (1995)
9087.0|American President, The (1995)
12110.0|Dracula: Dead and Loving It (1995)
21032.0|Balto (1995)
10858.0|Nixon (1995)
1408.0|Cutthroat Island (1995)
524.0|Casino (1995)
4584.0|Sense and Sensibility (1995)
5.0|Four Rooms (1995)
9273.0|Ace Ventura: When Nature Calls (1995)
11517.0|Money Train (1995)
8012.0|Get Shorty (1995)
1710.0|Copycat (1995)
9691.0|Assassins (1995)
12665.0|Powder (1995)
451.0|Leaving Las Vegas (1995)
16420.0|Othello (1995)
9263.0|Now and Then (1995)
17015.0|Persuasion (1995)
902.0|City of Lost Children, The (Cité des enfants perdus, La) (1995)
37557.0|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
9909.0|Dangerous Minds (1995)
63.0|Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
9598.0|Babe (1995)
687.0|Dead Man Walking (1995)
33689.0|It Takes Two (1995)
9603.0|Clueless (1995)
34615.0|Cry, the Beloved Country (1995)
31174.0|Richard III (1995)
11443.0|Dead Presidents (1995)
35196.0|Restoration (1995)
9312.0|Mortal Kombat (1995)
577.0|To Die For (1995)
11861.0|How to Make an American Quilt (1995)
807.0|Seven (a.k.a. Se7en) (1995)
10530.0|Pocahontas (1995)
8391.0|When Night Is Falling (1995)
629.0|Usual Suspects, The (1995)
11448.0|Mighty Aphrodite (1995)
49133.0|Lamerica (1994)
26441.0|Big Green, The (1995)
97406.0|Georgia (1995)
9089.0|Home for the Holidays (1995)
11010.0|Postman, The (Postino, Il) (1994)
11359.0|Indian in the Cupboard, The (1995)
17182.0|Eye for an Eye (1996)
2054.0|Mr. Holland's Opus (1995)
10607.0|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
19760.0|Two if by Sea (1996)
9536.0|Bio-Dome (1996)
11525.0|Lawnmower Man 2: Beyond Cyberspace (1996)
4482.0|French Twist (Gazon maudit) (1995)
10634.0|Friday (1995)
755.0|From Dusk Till Dawn (1996)
11859.0|Fair Game (1995)
28387.0|Kicking and Screaming (1995)
48750.0|Misérables, Les (1995)
20927.0|Bed of Roses (1996)
36929.0|Big Bully (1996)
9102.0|Screamers (1995)
124626.0|Nico Icon (1995)
27526.0|Crossing Guard, The (1995)
9623.0|Juror, The (1996)
46785.0|White Balloon, The (Badkonake sefid) (1995)
400.0|Things to Do in Denver When You're Dead (1995)
880.0|Antonia's Line (Antonia) (1995)
146599.0|Once Upon a Time... When We Were Colored (1995)
8447.0|Angels and Insects (1995)
10534.0|White Squall (1996)
17414.0|Dunston Checks In (1996)
13997.0|Black Sheep (1996)
2086.0|Nick of Time (1995)
9095.0|Mary Reilly (1996)
12158.0|Vampire in Brooklyn (1995)
9283.0|Beautiful Girls (1996)
9208.0|Broken Arrow (1996)
40154.0|In the Bleak Midwinter (1995)
406.0|Hate (Haine, La) (1995)
63076.0|Heidi Fleiss: Hollywood Madam (1995)
11062.0|City Hall (1996)
13685.0|Bottle Rocket (1996)
47475.0|Mr. Wrong (1996)
2045.0|Unforgettable (1996)
9614.0|Happy Gilmore (1996)
688.0|Bridges of Madison County, The (1995)
11907.0|Nobody Loves Me (Keiner liebt mich) (1994)
10874.0|Muppet Treasure Island (1996)
89333.0|Catwalk (1996)
197.0|Braveheart (1995)
103.0|Taxi Driver (1976)
33542.0|Rumble in the Bronx (Hont faan kui) (1995)
43566.0|Before and After (1996)
51352.0|Anne Frank Remembered (1995)
16934.0|Young Poisoner's Handbook, The (1995)
10324.0|If Lucy Fell (1996)
78406.0|Steal Big, Steal Little (1995)
32119.0|Boys of St. Vincent, The (1992)
11066.0|Boomerang (1992)
11104.0|Chungking Express (Chung Hing sam lam) (1994)
